z_index,solver_z,stella_z,z_error,solver_B,stella_bmag,B_error,solver_F,stella_b_dot_gradz_over_2pi,F_error,solver_kperp2,stella_kperp2,kperp2_error,solver_D_y,stella_B_times_gradB_dot_grady,stella_B_times_kappa_dot_grady,stella_B_times_drift_y_sum,phi_abs
33,-0.37109375,-0.37109375,0.0,1.258,1.2576888967691515,-0.00031110323084848623,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.13815,0.13816964196602524,1.9641966025246704e-05,-0.4296,-0.23158070515648715,-0.19797200362726022,-0.4295527087837474,8.842658332606491e-11
34,-0.3671875,-0.36718750000000006,-5.551115123125783e-17,1.17,1.170487682618749,0.0004876826187489858,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.32787,0.32783429913464956,-3.570086535042982e-05,-0.3594,-0.19913351391366343,-0.16031529190578553,-0.35944880581944894,9.385181066797872e-11
35,-0.36328125,-0.36328125,0.0,1.034,1.0339212907872468,-7.870921275321408e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.46557,0.46558340202545284,1.3402025452857735e-05,-0.02255,-0.036148852871976625,0.013600201477181119,-0.022548651394795505,8.807739256167403e-11
36,-0.359375,-0.359375,0.0,0.9388,0.9387856218947942,-1.4378105205770098e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.46314,0.46317956027106505,3.956027106505333e-05,0.3248,0.13222236269979287,0.1925594184362631,0.32478178113605594,7.658735106860743e-11
37,-0.35546875,-0.35546875,0.0,0.9441,0.9441221219459746,2.2121945974507007e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.45827999999999997,0.4583038647674068,2.3864767406844845e-05,-0.006850000000000002,-0.03325335293789516,0.02640455459376327,-0.006848798344131886,6.930767467930095e-11
38,-0.3515625,-0.3515625,0.0,1.021,1.0206694265085723,-0.0003305734914276215,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.6332399999999999,0.6332543902170121,1.4390217012216766e-05,-0.12972,-0.09038232489297669,-0.03933506072135193,-0.1297173856143286,7.025322823540939e-11
39,-0.34765625,-0.34765625000000006,-5.551115123125783e-17,1.114,1.1140771888134446,7.718881344453976e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.8741699999999999,0.8741330075563272,-3.699244367272314e-05,-0.3091,-0.17598096042057695,-0.1331442428370676,-0.3091252032576446,7.278131448587116e-11
40,-0.34375,-0.34375,0.0,1.18,1.1797506791123213,-0.0002493208876785946,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.9854999999999999,0.9855267000945961,2.6700094596154855e-05,-0.4667,-0.2524620819720241,-0.2142494286687749,-0.46671151064079897,6.987137960766552e-11
41,-0.33984375,-0.33984375,0.0,1.145,1.145378055487218,0.0003780554872179209,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.6234299999999999,0.623442821826253,1.2821826253062163e-05,-0.4423,-0.24144544962676903,-0.20091810548484254,-0.4423635551116116,6.133286630641264e-11
42,-0.3359375,-0.3359375,0.0,1.04,1.0398174727843974,-0.00018252721560263474,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.22032,0.22031451919365877,-5.4808063412181696e-06,-0.2572,-0.15316031392033191,-0.10398499460958768,-0.25714530852991957,5.624301295778062e-11
43,-0.33203125,-0.33203125,0.0,0.9988,0.9988451236422443,4.512364224429355e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.13023,0.13025076262614405,2.0762626144033014e-05,-0.22952,-0.14141740621306098,-0.08811856662744874,-0.22953597284050972,5.4226727580228704e-11
44,-0.328125,-0.328125,0.0,0.9867,0.9866656101181848,-3.4389881815255485e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.30186,0.3018980640052779,3.806400527789355e-05,0.002610000000000001,-0.026006429116677495,0.02861862269233082,0.002612193575653326,5.0963768167586516e-11
45,-0.32421875,-0.32421875000000006,-5.551115123125783e-17,1.009,1.008880313073844,-0.00011968692615593746,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.5246099999999999,0.5245845036761414,-2.5496323858509307e-05,0.2586,0.10315129502713212,0.15539719821315578,0.2585484932402879,4.838016318541004e-11
46,-0.3203125,-0.3203125,0.0,1.049,1.049153014721847,0.00015301472184714449,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.7264799999999999,0.7264381622579846,-4.183774201527157e-05,0.2499,0.10082375429533437,0.1491244862746771,0.24994824057001147,4.7311439393009484e-11
47,-0.31640625,-0.31640625,0.0,1.087,1.086672677264507,-0.0003273227354929631,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.9242999999999999,0.9239099372208975,-0.00039006277910236253,0.10244,0.0287004834010018,0.07374148673208064,0.10244197013308244,4.9554989865875324e-11
48,-0.3125,-0.3125,0.0,1.061,1.0613222151325483,0.00032221513254837575,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.9369,0.9365015882778362,-0.00039841172216370513,-0.061821,-0.05450889027093253,-0.007310757229789855,-0.061819647500722386,5.080759509187598e-11
49,-0.30859375,-0.30859375,0.0,1.022,1.0217491203567313,-0.00025087964326875323,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.8459099999999999,0.8458878393642413,-2.216063575866123e-05,-0.21563,-0.1332716400064685,-0.08233242132142722,-0.21560406132789572,5.121880161529878e-11
50,-0.3046875,-0.3046875,0.0,0.9886,0.9885719198645404,-2.8080135459629396e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.72162,0.7216019643700472,-1.803562995283947e-05,-0.20834999999999998,-0.13136085681485593,-0.07694806695666986,-0.2083089237715258,5.355520401831779e-11
51,-0.30078125,-0.30078125,0.0,0.9947,0.9947010289620901,1.0289620900882923e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.54792,0.547946169213944,2.6169213944049474e-05,-0.004399999999999998,-0.02907014208373082,0.024672518463557953,-0.004397623620172868,5.790696277517038e-11
52,-0.296875,-0.296875,0.0,1.02,1.0202458465993547,0.000245846599354671,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.38709,0.38710252130321254,1.2521303212553736e-05,0.17411000000000001,0.06151251505394639,0.11259155460888226,0.17410406966282865,5.986350838979317e-11
