z_index,z,theta,phi,rho,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2_min,kperp2_max
96,-0.125,-0.7853981633974483,-5.5,0.8,1.042,0.0019607888988921506,-0.03449754552859157,-0.1206,0.04026,-0.19226,1.684,1.562,2.094,0.020940000000000004,0.18846
97,-0.12109375,-0.760854470791278,-5.333,0.8,1.145,0.0019607888988921506,-0.05345280379966427,-0.09486,0.08169,-0.14912999999999998,0.983,1.707,4.297,0.04297000000000001,0.38672999999999996
98,-0.1171875,-0.7363107781851077,-5.17,0.8,1.225,0.0019607888988921506,-0.006946776995546136,-0.1093,0.07503,-0.18318,0.4295,1.021,5.92,0.05920000000000001,0.5327999999999999
99,-0.11328125,-0.7117670855789375,-5.006,0.8,1.186,0.0019607888988921506,0.03422725926019267,-0.0524,0.07431,-0.06697,0.3095,0.2198,4.698,0.046980000000000015,0.42282000000000003
100,-0.109375,-0.6872233929727672,-4.836,0.8,1.084,0.0019607888988921506,0.05207539129036593,-0.02905,0.07898,-0.012879999999999999,0.4365,-0.02972,2.696,0.026960000000000008,0.24264
101,-0.10546875,-0.662679700366597,-4.657,0.8,0.9818,0.0019607888988921506,0.04522631771272729,-0.02308,0.04585,0.008999999999999998,0.6064,0.01487,1.59,0.015900000000000004,0.1431
102,-0.1015625,-0.6381360077604268,-4.466,0.8,0.9161,0.0019607888988921506,0.013976947485101076,0.03114,0.007114,0.12564,0.6265,0.1123,1.36,0.013600000000000004,0.12240000000000001
103,-0.09765625,-0.6135923151542565,-4.276,0.8,0.9654,0.0019607888988921506,-0.06140151186606008,-0.05703,-0.06843,-0.05700197,0.8732,-0.01322,1.068,0.010680000000000002,0.09612
104,-0.09375,-0.5890486225480862,-4.1,0.8,1.099,0.0019607888988921506,-0.05929138674101787,-0.1696,-0.07446,-0.2952,1.973,0.3009,0.6585,0.0065850000000000014,0.059265
105,-0.08984375,-0.5645049299419159,-3.936,0.8,1.225,0.0019607888988921506,-0.04804305532086865,-0.1983,-0.05675,-0.3611,3.824,1.723,1.169,0.011690000000000002,0.10521
106,-0.0859375,-0.5399612373357456,-3.775,0.8,1.28,0.0019607888988921506,0.01233273629019988,-0.1522,0.03435,-0.272,4.475,3.257,2.737,0.027370000000000005,0.24633
107,-0.08203125,-0.5154175447295755,-3.613,0.8,1.183,0.0019607888988921506,0.05548455250852947,-0.1062,0.06367,-0.1744,2.346,2.18,2.622,0.026220000000000004,0.23597999999999997
108,-0.078125,-0.4908738521234052,-3.443,0.8,1.053,0.0019607888988921506,0.06064133963425381,-0.04762,0.08104,-0.047280100000000005,1.056,1.01,2.016,0.020160000000000004,0.18144
109,-0.07421875,-0.4663301595172349,-3.259,0.8,0.9448,0.0019607888988921506,0.03881475377803914,-0.01709,0.02649,0.025389999999999996,0.7225,0.2998,1.36,0.013600000000000004,0.12240000000000001
110,-0.0703125,-0.44178646691106466,-3.063,0.8,0.9254,0.0019607888988921506,-0.018184430081856433,-0.02222,-0.03006,0.017650000000000002,0.7254,0.1515,1.212,0.012120000000000002,0.10908
111,-0.06640625,-0.4172427743048944,-2.871,0.8,1.003,0.0019607888988921506,-0.056871984997898056,-0.05394,-0.04892,-0.05503,0.6089,-0.01084,1.653,0.016530000000000003,0.14876999999999999
112,-0.0625,-0.39269908169872414,-2.694,0.8,1.127,0.0019607888988921506,-0.05443148368996403,-0.1193,-0.07126,-0.1968,0.7656,-0.6532,2.218,0.022180000000000005,0.19962
113,-0.05859375,-0.36815538909255385,-2.526,0.8,1.232,0.0019607888988921506,-0.031589949714357725,-0.1278,-0.0651,-0.22063,1.501,-1.595,2.708,0.027080000000000007,0.24372000000000002
114,-0.0546875,-0.3436116964863836,-2.364,0.8,1.251,0.0019607888988921506,0.019414117851571502,-0.1927,-0.02808,-0.35150000000000003,2.413,-1.666,1.799,0.017990000000000003,0.16191
115,-0.05078125,-0.3190680038802134,-2.201,0.8,1.154,0.0019607888988921506,0.05538751773802298,-0.1964,0.0004645,-0.3528,2.38,-0.3902,0.6237,0.006237000000000001,0.056133
116,-0.046875,-0.2945243112740431,-2.031,0.8,1.021,0.0019607888988921506,0.06282434380308052,-0.1097,0.07066,-0.16837000000000002,1.61,0.5895,0.8634,0.008634000000000001,0.077706
117,-0.04296875,-0.2699806186678728,-1.85,0.8,0.933,0.0019607888988921506,0.017874122487638228,0.03111,0.07829,0.12329999999999999,1.035,0.7402,1.37,0.013700000000000004,0.1233
118,-0.0390625,-0.2454369260617026,-1.665,0.8,0.9516,0.0019607888988921506,-0.03055147497640885,-0.008937,-0.03173,0.040853,0.968,0.7713,1.55,0.015500000000000003,0.13949999999999999
119,-0.03515625,-0.22089323345553233,-1.488,0.8,1.031,0.0019607888988921506,-0.046139111113859405,-0.02415,-0.05825,0.0016799999999999975,1.082,1.214,2.345,0.023450000000000006,0.21105000000000002
120,-0.03125,-0.19634954084936207,-1.319,0.8,1.123,0.0019607888988921506,-0.03605772502169625,-0.06064,-0.08669,-0.07915,1.136,1.709,3.682,0.036820000000000006,0.33138
121,-0.02734375,-0.1718058482431918,-1.156,0.8,1.179,0.0019607888988921506,-0.00806740008865069,-0.1222,-0.1096,-0.20618999999999998,0.9317,1.725,4.689,0.04689000000000001,0.42201
122,-0.0234375,-0.14726215563702155,-0.9948,0.8,1.133,0.0019607888988921506,0.047192751449102434,-0.1076,-0.08858,-0.17374,0.4385,0.6654,3.937,0.03937000000000001,0.35433
123,-0.01953125,-0.1227184630308513,-0.8301,0.8,1.029,0.0019607888988921506,0.033439907071442454,-0.0408,-0.07971,-0.031404,0.521,-0.3793,2.31,0.023100000000000006,0.2079
124,-0.015625,-0.09817477042468103,-0.6599,0.8,0.9966,0.0019607888988921506,0.008303511275379335,-0.07787,-0.04221,-0.10221,1.44,-0.8265,1.164,0.011640000000000001,0.10475999999999999
125,-0.01171875,-0.07363107781851078,-0.4862,0.8,0.9871,0.0019607888988921506,-0.004287718889626799,-0.06711,0.0439,-0.07964,2.888,-0.7942,0.5559,0.005559000000000001,0.05003099999999999
126,-0.0078125,-0.04908738521234052,-0.3178,0.8,1.015,0.0019607888988921506,-0.018242006770012944,-0.016,0.09205,0.01958,4.083,-0.5939,0.3389,0.0033890000000000005,0.030500999999999997
127,-0.00390625,-0.02454369260617026,-0.1567,0.8,1.055,0.0019607888988921506,-0.02186196560024666,0.01894,0.05993,0.08562,5.068,-0.3622,0.2456,0.0024560000000000007,0.022104
128,0.0,0.0,1.78e-14,0.8,1.087,0.0019607888988921506,1.0253720761485654e-16,0.02695,-6.795e-15,0.09887,5.699,4.709e-14,0.2075,0.0020750000000000005,0.018674999999999997
129,0.00390625,0.02454369260617026,0.1567,0.8,1.055,0.0019607888988921506,0.021861965600246797,0.01894,-0.05993,0.08562,5.068,0.3622,0.2456,0.0024560000000000007,0.022104
130,0.0078125,0.04908738521234052,0.3178,0.8,1.015,0.0019607888988921506,0.01824200677001289,-0.016,-0.09205,0.01958,4.083,0.5939,0.3389,0.0033890000000000005,0.030500999999999997
131,0.01171875,0.07363107781851078,0.4862,0.8,0.9871,0.0019607888988921506,0.004287718889626631,-0.06711,-0.0439,-0.07964,2.888,0.7942,0.5559,0.005559000000000001,0.05003099999999999
132,0.015625,0.09817477042468103,0.6599,0.8,0.9966,0.0019607888988921506,-0.008303511275379224,-0.07787,0.04221,-0.10221,1.44,0.8265,1.164,0.011640000000000001,0.10475999999999999
133,0.01953125,0.1227184630308513,0.8301,0.8,1.029,0.0019607888988921506,-0.03343990707144274,-0.0408,0.07971,-0.031404,0.521,0.3793,2.31,0.023100000000000006,0.2079
134,0.0234375,0.14726215563702155,0.9948,0.8,1.133,0.0019607888988921506,-0.047192751449102434,-0.1076,0.08858,-0.17374,0.4385,-0.6654,3.937,0.03937000000000001,0.35433
135,0.02734375,0.1718058482431918,1.156,0.8,1.179,0.0019607888988921506,0.008067400088650749,-0.1222,0.1096,-0.20618999999999998,0.9317,-1.725,4.689,0.04689000000000001,0.42201
136,0.03125,0.19634954084936207,1.319,0.8,1.123,0.0019607888988921506,0.036057725021696053,-0.06064,0.08669,-0.07915,1.136,-1.709,3.682,0.036820000000000006,0.33138
137,0.03515625,0.22089323345553233,1.488,0.8,1.031,0.0019607888988921506,0.04613911111385943,-0.02415,0.05825,0.0016799999999999975,1.082,-1.214,2.345,0.023450000000000006,0.21105000000000002
138,0.0390625,0.2454369260617026,1.665,0.8,0.9516,0.0019607888988921506,0.030551474976408966,-0.008937,0.03173,0.040853,0.968,-0.7713,1.55,0.015500000000000003,0.13949999999999999
139,0.04296875,0.2699806186678728,1.85,0.8,0.933,0.0019607888988921506,-0.017874122487637895,0.03111,-0.07829,0.12329999999999999,1.035,-0.7402,1.37,0.013700000000000004,0.1233
