case,ky,z_index,z,theta,phi,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2,bessel_j0_rms_over_mu,gamma0_mean_over_species,magnetic_drift_frequency_rms_over_velocity,maxwellian_mean_over_velocity,drive_factor_mean_over_velocity,field_denominator_real,field_denominator_imag,ion_polarization_real,electron_response
gkw_fd_16x8,0.3,173,0.17578125,1.1044661672776617,7.654,1.067,0.0019607888988921506,0.03166479531820069,-0.03552,0.05828,-0.024300000000000002,3.253,-4.011,5.296,0.47664,0.8988918558318146,0.8200375303476389,0.016423851495348283,0.03880772015809038,3.6728710937499995,-1.1799624696523612,0.0,-0.17996246965236107,1.0
gkw_fd_16x8,0.3,174,0.1796875,1.1290098598838318,7.818,0.9995,0.0019607888988921506,0.03428551740212294,0.02016,-0.002679,0.09353,2.546,-2.895,3.683,0.33147,0.9230428571682753,0.8529691609389115,0.06226592035746277,0.03997943057536648,3.4711621093749994,-1.1470308390610886,0.0,-0.1470308390610885,1.0
gkw_fd_16x8,0.3,175,0.18359375,1.1535535524900022,7.991,0.9498,0.0019607888988921506,0.005476558292483586,0.0645,-0.07145,0.1879,2.074,-2.19,2.748,0.24732,0.9386422443900266,0.8760036043692688,0.12370171995695833,0.04090322770990945,3.32264453125,-1.1239963956307313,0.0,-0.12399639563073117,1.0
gkw_fd_16x8,0.3,176,0.1875,1.1780972450961724,8.169,0.9872,0.0019607888988921506,-0.03288471505292499,-0.04684,-0.06941,-0.039113999999999996,2.102,-1.763,1.942,0.17478,0.9575315711803263,0.9160707535212881,0.025967627359099157,0.040203019484711805,3.434406249999999,-1.083929246478712,0.0,-0.08392924647871192,1.0
gkw_fd_16x8,0.3,177,0.19140625,1.2026409377023426,8.344,1.052,0.0019607888988921506,-0.03664081124970361,-0.1821,0.04858,-0.31620000000000004,1.628,-0.5444,0.8629,0.077661,0.98190008679607,0.965818960760859,0.21299665375393165,0.039060297807574515,3.628046875,-1.034181039239141,0.0,-0.03418103923914095,1.0
gkw_fd_16x8,0.3,178,0.1953125,1.227184630308513,8.511,1.161,0.0019607888988921506,-0.05265960578580537,-0.2072,0.0775,-0.375,0.9455,0.4797,1.669,0.15021,0.9686492697865186,0.9465389706996405,0.2588249534613351,0.03731798698141766,3.9537695312500007,-1.0534610293003595,0.0,-0.05346102930035945,1.0
gkw_fd_16x8,0.3,179,0.19921875,1.2517283229146832,8.673,1.228,0.0019607888988921506,0.0012384720900259312,-0.2005,0.07501,-0.3658,0.4152,0.4429,4.108,0.36971999999999994,0.9296731182093214,0.8879550949249763,0.2562562948098204,0.03634548834712775,4.153984375,-1.1120449050750238,0.0,-0.11204490507502374,1.0
gkw_fd_16x8,0.3,180,0.203125,1.2762720155208536,8.837,1.176,0.0019607888988921506,0.03693595144720769,-0.1546,0.0747,-0.2708,0.3208,-0.1996,4.439,0.39951,0.921304410862134,0.8700281783173116,0.1875303443493252,0.03709416952088866,3.9985937500000004,-1.1299718216826884,0.0,-0.1299718216826884,1.0
gkw_fd_16x8,0.3,181,0.20703125,1.3008157081270237,9.008,1.07,0.0019607888988921506,0.05363921061543895,-0.1215,0.07635,-0.1966,0.4511,-0.6083,3.359,0.30230999999999997,0.933740681011765,0.8801422443826681,0.13296693790453534,0.03875771940536873,3.6818359375,-1.119857755617332,0.0,-0.11985775561733192,1.0
gkw_fd_16x8,0.3,182,0.2109375,1.325359400733194,9.19,0.9721,0.0019607888988921506,0.040953989908423444,-0.08321,0.04434,-0.11016000000000001,0.6148,-0.7626,2.483,0.22347,0.945475854004265,0.8915902396426499,0.0728870832415519,0.0404819806085398,3.3892832031249993,-1.10840976035735,0.0,-0.10840976035735006,1.0
gkw_fd_16x8,0.3,183,0.21484375,1.3499030933393643,9.381,0.9152,0.0019607888988921506,0.009023495778327915,0.03248,-0.003821,0.12844,0.6311,-0.7202,2.149,0.19341,0.9496770500318057,0.8939313018394417,0.0839009047791581,0.04157960898747235,3.2192499999999993,-1.1060686981605583,0.0,-0.1060686981605583,1.0
gkw_fd_16x8,0.3,184,0.21875,1.3744467859455345,9.57,0.9767,0.0019607888988921506,-0.0674659008248831,0.02767,-0.07327,0.11109,0.9356,-1.255,2.702,0.24317999999999998,0.9411872618952439,0.8839073453364237,0.07357843794478208,0.040396470160248124,3.4030292968749998,-1.1160926546635763,0.0,-0.11609265466357632,1.0
gkw_fd_16x8,0.3,185,0.22265625,1.3989904785517047,9.744,1.117,0.0019607888988921506,-0.05796974585900365,-0.07895,-0.07312,-0.11532,2.16,-2.484,3.435,0.30915,0.9350121633791786,0.8868711281945002,0.07881768560405578,0.03799600931490838,3.8222851562499995,-1.1131288718055,0.0,-0.1131288718054998,1.0
gkw_fd_16x8,0.3,186,0.2265625,1.423534171157875,9.908,1.236,0.0019607888988921506,-0.04213546746874012,-0.1299,-0.05056,-0.22503,4.058,-3.472,3.347,0.30123,0.9423665536104537,0.9083176414620204,0.15792105135157306,0.03623391390893537,4.177890625,-1.0916823585379796,0.0,-0.09168235853797957,1.0
gkw_fd_16x8,0.3,187,0.23046875,1.4480778637640452,10.07,1.274,0.0019607888988921506,0.018342301652408615,-0.199,0.04155,-0.3653,4.353,-2.566,1.885,0.16965,0.9677583880117302,0.9497284582978212,0.2585202087249509,0.03571642739015155,4.2914453125,-1.0502715417021788,0.0,-0.050271541702178846,1.0
